ID	sample_SRR5343917	sample_SRR5343919	sample_SRR5343921	sample_SRR5343923	sample_SRR5343925
ENSG00000157933	7440	977	11542	10770	3234
ENSG00000116151	248	99	528	363	266
ENSG00000272161	0	2	0	0	3
ENSG00000269896	38	12	139	40	75
ENSG00000272420	4	12	6	18	32
ENSG00000157916	6977	3170	6746	7567	6290
ENSG00000157911	1133	513	1181	996	787
ENSG00000149527	2	61	5	52	89
ENSG00000224387	0	0	1	0	0
ENSG00000229393	0	0	0	0	1
ENSG00000157881	1648	523	1320	1243	1116
ENSG00000197921	0	11	1	3	9
ENSG00000272449	117	166	29	31	57
ENSG00000238164	152	127	80	130	330
ENSG00000157873	8902	6767	2407	4047	13758
ENSG00000225931	107	6	10	2	13
ENSG00000228037	6	8	7	6	14
ENSG00000157870	3538	613	2175	2456	1952
ENSG00000142606	18	7	22	110	11
ENSG00000237058	0	0	0	0	0
ENSG00000215912	2	22	76	35	59
ENSG00000233234	0	0	0	0	0
ENSG00000231630	0	0	0	1	0
ENSG00000169717	0	0	0	0	0
ENSG00000177133	3	4	306	24	28
ENSG00000142611	1	16	922	61	40
ENSG00000226286	0	0	5	17	0
ENSG00000279839	0	1	1	0	0
ENSG00000272235	0	0	6	18	5
ENSG00000130762	4	10	1720	420	226
ENSG00000272088	0	0	1	0	1
ENSG00000162591	36	129	1449	1313	1195
ENSG00000207776	0	0	0	0	0
ENSG00000238260	4	22	23	15	32
ENSG00000158109	6251	1322	1846	2107	2085
ENSG00000116213	1964	749	1067	1749	1184
ENSG00000078900	33	12	86	17	120
ENSG00000227589	1	2	0	0	3
ENSG00000235131	0	0	2	1	2
ENSG00000227372	42	187	1801	616	462
ENSG00000276189	0	0	0	0	0
ENSG00000162592	0	3	15	0	0
ENSG00000235169	110	19	187	59	118
ENSG00000130764	3193	1361	2782	2272	2347
ENSG00000266075	6	1	3	2	4
ENSG00000272153	9	19	31	32	42
ENSG00000116198	3818	687	2220	1287	1385
ENSG00000169598	683	179	542	469	352
ENSG00000198912	1143	572	1416	1300	1396
ENSG00000236423	51	31	233	147	30
ENSG00000233304	0	0	0	0	0
ENSG00000226374	1	0	1	0	0
ENSG00000229280	0	0	1	0	0
ENSG00000235054	2	12	0	0	0
ENSG00000227169	0	0	0	0	0
ENSG00000232596	0	0	0	0	0
ENSG00000196581	3	22	33	42	50
ENSG00000277731	0	0	0	0	0
ENSG00000231510	0	1	0	0	0
ENSG00000260972	0	0	0	0	0
ENSG00000264341	0	0	0	0	0
ENSG00000236948	0	0	0	0	0
ENSG00000216045	0	0	0	0	0
ENSG00000264101	0	0	0	3	1
ENSG00000131697	2047	761	1871	2021	1048
ENSG00000266687	0	1	0	0	0
ENSG00000069424	24112	1698	1706	8197	9557
ENSG00000116254	2	6	26	14	7
ENSG00000116251	47888	12522	23031	14505	21275
ENSG00000226944	108	55	215	126	97
ENSG00000158286	236	367	1089	709	730
ENSG00000116237	9027	2857	5948	11705	6688
ENSG00000225077	18	55	16	56	40
ENSG00000173673	0	0	0	6	0
ENSG00000158292	2036	813	2187	5777	1658
ENSG00000097021	14492	2243	6339	14812	5063
ENSG00000271746	0	0	0	0	0
ENSG00000069812	7	3	474	27	193
ENSG00000187017	0	0	2420	46	70
ENSG00000265392	0	0	0	0	0
ENSG00000231868	0	0	27	0	0
ENSG00000215788	8	162	1736	353	511
ENSG00000171680	147	158	1590	1779	855
ENSG00000162408	1036	582	1237	1623	1229
ENSG00000253022	0	0	1	0	0
ENSG00000229519	0	4	2	7	9
ENSG00000173662	5	2	10	2	0
ENSG00000204859	916	433	1053	1138	808
ENSG00000162413	4681	1899	6745	7772	2525
ENSG00000116273	1590	553	2423	4144	1445
ENSG00000041988	1093	539	832	440	726
ENSG00000007923	3521	534	3370	2182	1334
ENSG00000228750	0	1	0	0	1
ENSG00000237436	4	39	12	14	35
ENSG00000171735	3195	1089	1821	1390	3367
ENSG00000227950	0	0	0	0	1
ENSG00000237365	0	0	0	0	1
ENSG00000207056	0	0	0	0	4
ENSG00000280801	0	0	0	0	0
ENSG00000237402	9	0	1	0	1
ENSG00000237728	0	0	0	0	0
ENSG00000225126	1	1	0	1	1
ENSG00000270171	1	3	1	1	0
ENSG00000270035	0	1	4	2	12
ENSG00000269978	0	13	1	1	19
ENSG00000049245	12987	3459	8371	10017	6306
ENSG00000269925	6	11	4	22	25
ENSG00000049246	3943	915	403	1225	2068
ENSG00000236266	3	2	3	7	20
ENSG00000049247	15	2	0	4	15
ENSG00000049249	1	128	6	74	456
ENSG00000270330	0	0	0	0	0
ENSG00000116288	10369	6233	12626	10547	12281
ENSG00000200344	0	2	1	3	3
ENSG00000116285	605	361	23302	12500	1508
ENSG00000238290	0	4	51	69	6
ENSG00000232848	0	0	0	0	0
ENSG00000229305	0	0	1	1	0
ENSG00000227634	0	0	9	12	0
ENSG00000200975	0	0	0	0	0
ENSG00000233645	0	0	0	1	0
ENSG00000251977	0	0	0	0	0
ENSG00000162426	5	12	604	269	55
