"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000152495" 5 24 2087 1318 253 378 61 41 698 582
"ENSG00000152503" 870 1090 369 217 331 404 334 556 274 112
"ENSG00000152518" 7403 8590 8407 5967 8447 9206 20280 8476 9132 9684
"ENSG00000152520" 3683 4298 1969 1739 1577 1432 1771 1361 3083 1571
"ENSG00000152527" 705 1205 144 124 1693 2286 1292 323 1495 715
"ENSG00000152556" 9674 10542 4730 6718 7124 10535 8824 14333 3946 6041
"ENSG00000152558" 9247 15268 9515 6552 16905 18943 5480 5152 9942 6795
"ENSG00000152578" 2 0 5 4 360 1399 26 210 8 3
"ENSG00000152580" 39 42 14 43 66 70 157 23 15 111
"ENSG00000152582" 5 102 586 511 441 492 89 33 266 101
"ENSG00000152583" 3495 3692 2856 12965 4449 1097 11832 3854 13083 32138
"ENSG00000152591" 0 1 3 0 0 0 1 0 1 1
"ENSG00000152592" 1 1 0 3 0 0 0 0 28 19
"ENSG00000152595" 2 9 0 2 9 3 2 5 5 4
"ENSG00000152601" 5977 8147 7017 6882 8627 6335 10355 7057 8647 5608
"ENSG00000152611" 0 1 0 0 2 1 4 0 0 3
"ENSG00000152620" 1469 1369 1368 972 1289 1916 821 336 2054 1215
"ENSG00000152642" 5680 4448 1396 1263 5251 7795 1126 1697 995 1022
"ENSG00000152661" 1195 1164 1081 975 5387 1235 7361 2034 4491 10644
"ENSG00000152669" 111 209 698 985 345 626 592 701 884 682
"ENSG00000152670" 0 4 3 0 5 0 0 2 3 0
"ENSG00000152672" 6 3 2 8 43 40 7 0 14 2
"ENSG00000152683" 2642 2837 1554 1555 1882 2469 3121 2507 2093 1936
"ENSG00000152684" 1844 3433 1502 1748 2437 3056 1275 744 1515 2426
"ENSG00000152689" 313 357 787 1139 699 253 1201 382 1789 2189
"ENSG00000152700" 2029 3496 4256 3157 2570 2763 2788 2488 4323 2703
"ENSG00000152705" 3 15 12 8 13 8 3 4 14 8
"ENSG00000152749" 4454 4866 2342 1285 1899 3373 2294 2270 1730 1158
"ENSG00000152760" 1 6 39 64 46 41 150 66 101 110
"ENSG00000152763" 80 49 357 282 386 143 157 190 198 85
"ENSG00000152766" 0 97 198 695 26 32 60 21 499 86
"ENSG00000152767" 4696 2237 2776 2938 7831 10009 4549 3160 2062 5353
"ENSG00000152778" 1406 2779 1434 1572 724 746 858 1058 2200 1030
"ENSG00000152779" 3 11 12 8 5 1 5 4 37 26
"ENSG00000152782" 365 254 613 469 459 438 479 505 442 377
"ENSG00000152784" 11 40 59 105 144 395 188 77 188 167
"ENSG00000152785" 0 0 1 0 16 107 0 0 0 0
"ENSG00000152795" 24018 26775 11155 13719 18956 18295 13054 12201 16191 13884
"ENSG00000152804" 75 53 515 584 355 627 1159 802 656 1009
"ENSG00000152818" 11748 16348 1789 4354 16270 15487 11292 9220 5197 7368
"ENSG00000152822" 231 11200 19 14 62 87 68 355 125 11
"ENSG00000152894" 1903 2181 492 853 1430 1993 1198 648 1745 3210
"ENSG00000152904" 2899 3324 1959 1925 3462 3978 2091 2842 1295 1256
"ENSG00000152910" 1 7 124 81 478 162 62 615 5 25
"ENSG00000152926" 36 265 2092 2245 1213 436 549 240 1236 342
"ENSG00000152931" 9 27 12 7 1 5 2 2 13 3
"ENSG00000152932" 9 2 90 272 1 2 151 18 349 172
"ENSG00000152936" 49 18 2 0 4 0 178 301 0 0
"ENSG00000152939" 3 3 39 16 11 8 7 13 11 42
"ENSG00000152942" 2604 2755 2026 1912 1517 1526 1654 1447 1374 1023
"ENSG00000152944" 1787 1825 1293 914 1275 1403 1418 1726 1703 1344
"ENSG00000152952" 2766 2072 1146 1061 10368 5669 5503 3214 3637 4446
"ENSG00000152953" 2239 2997 373 621 3739 3908 3452 2564 916 1724
"ENSG00000152954" 0 0 0 0 2 2 0 0 0 2
"ENSG00000152969" 2 33 46 147 0 1 20 7 70 40
"ENSG00000152977" 2 2 15 3 741 922 9 59 172 524
"ENSG00000152990" 13214 11042 1886 2356 3702 4516 511 190 1875 1739
"ENSG00000153002" 63 16 17 1 1 3 4 1 6 10
"ENSG00000153006" 1675 2515 2310 1746 1963 1961 1225 1281 1349 1021
"ENSG00000153012" 98 189 67 332 584 943 1669 520 367 1806
"ENSG00000153015" 1682 1780 1116 1344 1992 1827 992 1180 1128 1004
"ENSG00000153029" 5700 6639 1039 1838 2404 3999 1081 690 1868 1501
"ENSG00000153037" 626 829 1782 778 755 1236 497 382 1348 791
"ENSG00000153044" 394 151 860 584 598 828 730 588 662 771
"ENSG00000153046" 8630 5188 1479 1592 2336 2348 2214 1527 1784 1931
"ENSG00000153048" 2599 2834 504 865 3462 3393 1664 1863 1788 3619
"ENSG00000153060" 2 3 31 6 7 4 1 1 1 2
"ENSG00000153064" 4 4 181 146 17 7 32 11 32 27
"ENSG00000153066" 6170 5515 1922 3630 2902 2824 1965 1929 1588 2121
"ENSG00000153071" 4294 6272 10537 17150 5493 6567 9726 3926 14819 12005
"ENSG00000153086" 2 6 9 10 10 4 6 2 3 0
"ENSG00000153093" 4 2 14 7 32 33 7 3 19 30
"ENSG00000153094" 2217 1416 816 1608 5867 4344 1846 926 1150 1963
"ENSG00000153107" 2294 2074 908 1094 7205 5006 3162 2501 1565 1799
"ENSG00000153113" 16231 18109 5747 8101 9252 8560 6839 5103 7776 6398
"ENSG00000153130" 4285 5348 6222 2099 2061 3576 1613 2016 5107 2823
"ENSG00000153132" 40 18 59 60 63 67 20 3 306 224
"ENSG00000153140" 987 1310 1715 959 1473 2031 837 934 751 722
"ENSG00000153147" 12708 12339 6088 6362 6059 6751 6133 6879 5930 4388
"ENSG00000153157" 0 2 14 10 1 1 5 0 4 3
"ENSG00000153162" 34 26 17 119 444 740 225 44 184 535
"ENSG00000153165" 8 11 8 7 71 55 66 28 19 5
"ENSG00000153179" 12975 9878 13163 8069 1419 1692 2680 4015 10708 3258
"ENSG00000153187" 28415 29486 13922 20665 43851 39996 19856 21599 22305 26735
"ENSG00000153201" 7657 10579 6358 6457 20736 15202 25561 33996 7686 5489
"ENSG00000153207" 5138 5360 2940 3398 9112 7949 3951 4978 7664 3541
"ENSG00000153208" 333 121 2543 4538 5658 6812 2495 1584 3993 1550
"ENSG00000153214" 2514 2878 2477 2892 11970 9612 9865 6214 3542 2184
"ENSG00000153230" 1 0 4 2 0 0 1 0 1 1
"ENSG00000153233" 67 124 111 37 37 98 7 18 66 96
"ENSG00000153234" 248 548 457 1004 7875 3120 2203 1208 403 572
"ENSG00000153237" 33 38 60 34 151 152 26 15 35 22
"ENSG00000153246" 20 37 122 212 1614 1753 574 213 167 440
"ENSG00000153250" 4426 6059 5358 4841 14566 16460 13795 7871 6524 5215
"ENSG00000153253" 3 2 16 28 84 88 10 2 12 20
"ENSG00000153266" 0 0 0 0 0 1 0 0 0 0
"ENSG00000153283" 105 121 238 528 59 36 93 45 412 143
"ENSG00000153291" 191 908 746 932 385 328 83 20 453 92
"ENSG00000153292" 0 0 1 5 0 1 0 0 0 1
"ENSG00000153294" 1 0 12 0 23 1 3 15 0 10
"ENSG00000153303" 2 0 8 7 0 0 6 0 1 2
"ENSG00000153310" 4706 4571 4841 4810 6168 6286 7350 8397 6629 3652
"ENSG00000153317" 3580 4180 2914 3505 13103 13968 9303 5206 6438 6691
"ENSG00000153339" 3237 3542 2227 1684 4306 4596 4207 4204 2275 1364
"ENSG00000153347" 32 14 6 3 1 7 3 7 1 0
"ENSG00000153363" 435 411 580 331 1814 1658 517 495 194 128
"ENSG00000153391" 823 815 358 380 1427 1372 831 942 629 873
"ENSG00000153395" 5706 6052 9006 12562 9740 10255 3624 1871 8541 6044
"ENSG00000153404" 8 6 2759 4357 207 79 43 12 168 111
"ENSG00000153406" 2779 3432 1663 2226 2574 4360 1095 1217 2807 3385
"ENSG00000153443" 2318 1960 1079 1397 1816 3704 855 795 1358 2012
"ENSG00000153446" 1 7 8 28 59 63 44 619 26 16
"ENSG00000153485" 1536 1577 3098 1067 530 1063 783 1252 1526 806
"ENSG00000153487" 2411 1968 1069 1106 1658 1247 1406 1366 937 1542
"ENSG00000153495" 9 9 6 18 15 8 29 9 16 37
"ENSG00000153498" 0 0 0 0 0 0 0 0 0 0
"ENSG00000153531" 21 32 78 1508 492 520 48 49 48 80
"ENSG00000153551" 4226 2678 1391 2793 3483 4215 1517 963 1626 1517
"ENSG00000153558" 1615 1425 852 696 735 931 124 58 432 249
"ENSG00000153560" 6411 6941 4945 5414 7343 7508 5240 4451 4589 4975
"ENSG00000153561" 4940 4852 2771 2455 3486 5153 4536 4602 3585 3100
"ENSG00000153563" 46 1102 1011 2865 185 192 166 48 2081 364
"ENSG00000153574" 1668 1034 787 669 1351 2089 1010 738 1610 2265
"ENSG00000153684" 0 0 0 0 2 0 0 0 0 0
"ENSG00000153707" 32 122 470 500 395 494 1181 302 162 941
"ENSG00000153714" 494 1024 101 207 312 252 433 194 490 1013
"ENSG00000153721" 1267 1338 190 397 5238 3407 1402 1041 690 667
"ENSG00000153767" 1388 1413 839 735 1833 2596 861 561 759 732
"ENSG00000153774" 5702 3995 1713 2077 2229 2245 1159 1527 1462 1905
"ENSG00000153779" 178 16 0 0 0 0 0 0 0 0
"ENSG00000153786" 10953 11962 2093 3878 4343 4466 4914 4122 2372 3180
"ENSG00000153789" 0 1 5 8 56 4 5 1 0 3
"ENSG00000153790" 624 812 685 993 673 691 111 28 402 241
"ENSG00000153802" 0 4 5 9 4 0 1 4 4 0
"ENSG00000153814" 1567 2300 617 707 5002 4550 1374 962 2435 2396
"ENSG00000153815" 2852 1503 642 2480 2700 2068 3592 1332 1757 4638
"ENSG00000153820" 0 0 1 2 42 91 2 1 0 4
"ENSG00000153822" 3 2 2 1 1 1 4 12 0 4
"ENSG00000153823" 63 42 24 45 395 111 466 140 87 312
"ENSG00000153827" 14494 14518 6332 9937 28278 22552 21378 14729 8738 8634
"ENSG00000153832" 44 35 65 65 842 653 100 56 75 73
"ENSG00000153879" 2568 3436 1363 1940 2689 3374 2485 1699 3383 2859
"ENSG00000153885" 6261 7893 3587 5520 7850 11722 8445 7589 3801 6889
"ENSG00000153896" 347 401 438 471 545 473 294 235 255 354
"ENSG00000153898" 1257 1117 311 470 292 499 76 68 645 328
"ENSG00000153902" 976 471 133 332 354 1023 2571 3415 1006 1920
"ENSG00000153904" 384 205 531 897 519 334 926 267 997 1413
"ENSG00000153914" 2249 5071 5065 3855 5074 3738 4368 3600 5155 2423
"ENSG00000153922" 4630 7282 3931 4150 6513 4759 3444 3744 4585 2345
"ENSG00000153923" 0 1 0 2 1 3 12 7 2 0
"ENSG00000153930" 8 68 62 42 15 65 2 15 1 1
"ENSG00000153933" 519 601 1130 761 84 76 232 107 1377 484
"ENSG00000153936" 2470 2393 2718 1779 4185 5401 6518 5690 3532 2645
"ENSG00000153944" 8692 11105 4011 4485 11440 9358 4767 4800 3330 2847
"ENSG00000153956" 1145 921 157 284 3085 3370 700 252 1308 865
"ENSG00000153975" 504 646 332 314 545 702 397 411 356 297
"ENSG00000153976" 8 12 22 52 1320 971 522 260 188 384
"ENSG00000153982" 411 272 249 119 103 520 112 285 107 63
"ENSG00000153989" 2175 2004 1880 1221 3637 3747 2560 2041 2296 1782
"ENSG00000153993" 198 866 49 34 1263 4772 202 57 313 126
"ENSG00000154001" 3006 3338 2041 2282 2597 2247 3734 3001 2074 1735
"ENSG00000154007" 0 0 1 0 0 0 0 0 0 0
"ENSG00000154016" 18 6 21 31 43 9 62 14 72 140
"ENSG00000154025" 2 3 349 170 26 13 6 4 301 176
"ENSG00000154027" 483 810 254 233 92 433 236 54 751 631
"ENSG00000154040" 11 33 99 137 700 986 113 67 102 113
"ENSG00000154059" 2013 987 2342 1524 4647 7942 2686 2511 1578 1443
"ENSG00000154065" 22 10 143 226 323 424 247 74 203 251
"ENSG00000154079" 428 391 1058 422 630 792 428 384 498 576
"ENSG00000154080" 0 0 69 7 1 9 1 1 23 190
"ENSG00000154096" 1030 2278 1797 5759 5455 2787 14040 3586 8892 35050
"ENSG00000154099" 52 74 13 39 34 34 27 20 17 4
"ENSG00000154102" 327 21 59 25 106 251 36 4 221 230
"ENSG00000154114" 1812 2688 607 730 2686 2688 1162 305 1059 933
"ENSG00000154118" 6 11 4 7 3 7 6 3 35 17
"ENSG00000154122" 488 1041 757 1842 26315 30654 17589 6977 5536 9548
"ENSG00000154124" 1694 1758 1430 1397 1891 2169 1425 1494 2737 1653
"ENSG00000154127" 593 1509 759 1394 4666 3152 2944 1841 1531 835
"ENSG00000154133" 374 457 169 536 946 344 1535 255 2254 5580
"ENSG00000154134" 686 1522 538 761 587 676 460 73 316 338
"ENSG00000154143" 21 34 0 0 0 0 2 0 1 0
"ENSG00000154144" 1338 3643 1093 1469 1812 2158 1512 1053 1039 952
"ENSG00000154146" 519 431 111 282 825 1023 1675 2818 677 1426
"ENSG00000154153" 587 1178 1788 2335 2036 2538 1797 1640 1205 369
"ENSG00000154162" 2 7 17 0 0 6 2 6 3 7
"ENSG00000154165" 0 14 1 2 0 0 0 0 1 1
"ENSG00000154174" 6843 6171 6095 5373 7069 7165 4461 3811 5850 4068
"ENSG00000154175" 28 421 499 1212 440 248 2771 583 802 2495
"ENSG00000154188" 470 676 570 409 16298 10880 3829 2262 336 283
"ENSG00000154198" 0 0 1 1 0 0 0 0 0 0
"ENSG00000154217" 830 453 398 817 1741 1438 922 363 879 1751
"ENSG00000154222" 4303 4816 2743 4401 2939 3629 4118 4153 3254 3179
"ENSG00000154227" 3 1 2 15 2 2 3 12 9 30
"ENSG00000154229" 2116 1875 176 386 13887 10494 2218 1118 652 1102
"ENSG00000154237" 2283 2319 944 2405 1477 1511 1147 342 1137 1897
"ENSG00000154240" 580 675 284 365 1702 1262 383 148 560 436
"ENSG00000154252" 0 0 0 0 15 8 7 9 2 3
"ENSG00000154258" 35 58 80 164 576 464 509 200 132 101
"ENSG00000154262" 10 53 68 192 7133 4033 1159 573 57 165
"ENSG00000154263" 10 81 80 90 119 89 126 89 198 23
"ENSG00000154265" 589 1043 1173 1021 1636 2114 592 512 1121 384
"ENSG00000154269" 55 84 36 49 38 13 54 40 4 16
"ENSG00000154274" 544 320 10 7 619 899 228 8 14 10
"ENSG00000154277" 11 23 672 929 282 619 651 152 10478 18098
"ENSG00000154305" 6864 6201 2617 4386 8491 7109 5260 5800 1984 1866
"ENSG00000154309" 1248 1654 165 276 701 560 551 808 260 514
"ENSG00000154310" 2119 2140 821 1439 1095 1678 1466 1736 891 1393
"ENSG00000154316" 0 0 1 3 2 19 1 3 33 3
"ENSG00000154319" 15 59 88 111 353 88 130 38 247 252
"ENSG00000154328" 1418 1518 1079 1283 877 1259 1663 1741 1478 1422
"ENSG00000154330" 2287 2349 590 740 118 60 302 90 123 531
"ENSG00000154342" 6 2 1 4 3 12 9 9 2 6
"ENSG00000154358" 840 181 1275 1930 3616 4208 222 86 1275 1044
"ENSG00000154359" 2431 2402 4500 3263 750 928 1616 2072 4519 1995
"ENSG00000154370" 2876 2773 1405 2072 2278 3074 1112 1264 688 1035
"ENSG00000154380" 16135 10654 5086 3281 19978 31834 7732 5301 6285 7564
"ENSG00000154415" 0 0 8 62 0 0 0 0 0 0
"ENSG00000154429" 2529 2303 1551 2012 2552 5314 787 687 1410 740
"ENSG00000154438" 0 0 0 0 0 1 0 0 0 0
"ENSG00000154447" 2432 1772 515 622 917 953 1165 790 831 1094
"ENSG00000154451" 37 1269 2010 8460 137 164 358 138 4869 547
"ENSG00000154473" 7222 7525 5248 4243 5219 6103 6402 6184 8333 7136
"ENSG00000154478" 0 0 2 2 1 0 1 0 0 0
"ENSG00000154479" 20 9 14 13 102 75 52 51 18 7
"ENSG00000154485" 0 1 1 2 13 3 5 4 1 3
"ENSG00000154493" 2058 2965 1130 1827 1027 1551 993 1275 538 432
"ENSG00000154511" 1516 1380 1029 1049 524 484 427 165 1158 948
"ENSG00000154518" 15911 17432 11212 8981 30502 30885 10225 10714 12595 15614
"ENSG00000154529" 26 72 25 28 183 167 206 183 63 144
"ENSG00000154537" 6 16 18 14 34 63 15 39 13 6
"ENSG00000154545" 1 1 54 92 37 55 46 5 19 50
"ENSG00000154548" 1 6 73 31 348 482 24 30 191 252
"ENSG00000154553" 25116 24376 4012 6236 1380 998 6669 9157 7513 5013
"ENSG00000154556" 399 257 830 1950 1502 181 1392 2042 261 443
"ENSG00000154582" 4626 4360 3497 2462 6655 7430 3273 3884 6027 4770
"ENSG00000154589" 271 455 1293 950 439 584 933 1109 2881 1157
"ENSG00000154608" 50 89 240 233 106 144 145 533 254 91
"ENSG00000154611" 0 2 0 1 0 0 1 0 9 8
"ENSG00000154620" 47 60 72 58 18 121 24 7 25 37
"ENSG00000154639" 11 9 655 220 1131 1120 941 583 544 293
"ENSG00000154640" 1361 1811 4133 1629 5024 5869 2302 2352 5560 3716
"ENSG00000154642" 3892 5308 6900 1651 1643 3057 692 1185 2496 1194
"ENSG00000154645" 13 4 209 113 14 217 9 17 10 12
"ENSG00000154646" 3 1 3 1 0 6 0 4 0 4
"ENSG00000154654" 596 572 91 84 278 672 113 121 92 89
"ENSG00000154655" 70 245 488 506 198 637 132 375 721 427
"ENSG00000154678" 21 30 50 73 828 1476 80 46 124 204
"ENSG00000154710" 222 269 804 704 894 1345 410 621 615 545
"ENSG00000154719" 1986 2215 1170 707 2735 3295 1592 1849 1615 1549
"ENSG00000154721" 167 176 201 965 4102 771 1736 303 479 1887
"ENSG00000154723" 8745 8768 7464 5044 9369 7510 2922 3848 5460 6250
"ENSG00000154727" 2963 3703 1835 1563 5793 5026 2432 2855 2261 1604
"ENSG00000154734" 5127 8110 776 2516 23254 30041 11434 5438 2229 6920
"ENSG00000154736" 94 243 115 285 1833 239 2015 470 539 1307
"ENSG00000154743" 613 1034 938 1074 1966 2107 641 771 531 433
"ENSG00000154760" 12 42 244 517 645 433 210 54 265 208
"ENSG00000154764" 1 0 2 2 1 1 0 1 0 1
"ENSG00000154767" 2659 3494 1734 2482 4625 6225 1925 1646 1351 1736
"ENSG00000154781" 1934 1848 897 1327 2266 2796 1242 1352 921 873
"ENSG00000154783" 385 314 174 865 796 361 1653 619 1245 3812
"ENSG00000154803" 2361 3534 1391 1781 1920 3088 1531 1360 2079 1809
"ENSG00000154813" 2058 3243 7560 4016 2676 3328 2027 2260 3659 1702
"ENSG00000154814" 936 868 2171 1625 831 1095 803 868 1231 807
"ENSG00000154822" 365 359 340 616 282 273 539 254 515 845
"ENSG00000154832" 3568 4707 1882 2863 2875 4804 3100 3697 2460 3355
"ENSG00000154839" 267 111 571 466 733 906 910 921 1269 1199
"ENSG00000154845" 6462 6360 1938 2299 3807 4207 5034 3676 3196 4080
"ENSG00000154856" 75 116 115 465 1644 2037 553 491 1198 3579
"ENSG00000154864" 118 132 891 509 3793 6407 1523 334 1137 1571
"ENSG00000154874" 76 547 85 53 614 560 244 246 113 27
"ENSG00000154889" 1304 1898 570 708 677 1117 1283 1049 667 791
"ENSG00000154898" 0 22 6 1 114 50 26 24 13 7
"ENSG00000154914" 1 0 32 42 42 71 9 1 48 31
"ENSG00000154917" 8646 5770 1326 1292 441 2270 249 103 897 1246
"ENSG00000154920" 197 184 245 286 632 718 415 377 454 405
"ENSG00000154928" 173 111 478 349 494 1437 100 17 442 432
"ENSG00000154930" 6742 6170 3398 4367 5335 7555 2034 2142 1491 1654
"ENSG00000154945" 4353 3396 1656 1980 3489 4532 2309 1823 2027 2280
"ENSG00000154957" 567 676 418 613 534 803 552 364 450 455
"ENSG00000154975" 1 0 0 0 2 8 0 9 0 0
"ENSG00000154978" 875 845 1187 2404 3344 3851 1712 652 3178 3293
"ENSG00000154997" 0 0 101 18 0 0 1 0 0 0
"ENSG00000155008" 1540 1778 525 550 1217 1421 729 607 867 645
"ENSG00000155011" 28 33 66 145 1 13 930 367 281 338
"ENSG00000155016" 6432 2654 1848 1733 258 675 337 115 1528 1290
"ENSG00000155026" 2 3 18 17 13 9 2 4 8 2
"ENSG00000155034" 411 365 402 468 1049 1181 857 716 298 617
"ENSG00000155052" 1 0 9 1 3 16 0 0 7 3
"ENSG00000155066" 11 21 10 35 66 26 26 6 30 61
"ENSG00000155070" 2 0 0 1 0 1 5 1 2 1
"ENSG00000155085" 298 488 177 221 730 772 265 475 95 97
"ENSG00000155087" 0 0 0 0 0 0 0 0 0 1
"ENSG00000155090" 2427 2240 1037 2103 7163 6940 5090 3303 4261 5040
"ENSG00000155093" 41 49 125 306 105 97 610 1115 396 674
"ENSG00000155096" 11833 10438 7189 4681 15771 20996 9319 10529 9588 6324
"ENSG00000155097" 4988 5891 7500 5435 7393 13004 8034 10461 9466 4355
"ENSG00000155099" 2261 2533 1714 733 2298 3748 1700 2161 2040 1131
"ENSG00000155100" 1319 1554 1337 579 1934 2788 1227 1787 1772 896
"ENSG00000155111" 2048 1480 610 923 3725 2691 1774 1774 1250 1119
"ENSG00000155115" 2428 2586 1393 1597 2520 3748 2172 2353 2845 3076
"ENSG00000155158" 210 185 453 290 346 284 1000 346 865 495
"ENSG00000155189" 3043 2728 1571 1083 2431 2860 1771 2870 3624 2164
"ENSG00000155229" 6702 7218 2821 5127 5028 6008 5379 6133 3321 4603
"ENSG00000155249" 0 0 0 0 0 0 0 0 0 0
"ENSG00000155252" 3902 6382 1696 2822 1915 3516 3566 4932 2179 2731
"ENSG00000155254" 6679 5800 3582 5862 4817 7305 7557 4194 3696 7953
"ENSG00000155256" 4584 6088 3289 4341 2027 2656 3147 3093 2592 2812
"ENSG00000155265" 1804 7173 4354 4265 220 338 236 297 2056 2918
"ENSG00000155269" 0 0 0 2 1 0 5 1 0 2
"ENSG00000155275" 858 872 327 374 374 436 470 470 340 450
"ENSG00000155287" 920 1454 1049 2129 963 1029 1294 919 2042 1891
"ENSG00000155304" 5141 6173 4293 1970 18176 15237 4535 4979 5470 1603
"ENSG00000155307" 62 152 1115 1482 258 302 563 237 1893 581
"ENSG00000155313" 2221 3573 1424 1568 3817 3427 1128 297 2104 1012
"ENSG00000155324" 3422 2766 625 801 627 487 918 720 279 422
"ENSG00000155329" 1236 1318 1788 856 1060 1224 594 624 1351 1026
"ENSG00000155330" 1555 1863 346 292 610 626 357 443 471 398
"ENSG00000155363" 1958 4122 2073 5458 3773 3614 3233 2576 3396 3368
"ENSG00000155366" 7921 14441 7334 6631 11166 10741 14705 12447 6089 13075
"ENSG00000155367" 39 28 44 61 333 218 198 175 71 88
"ENSG00000155368" 24195 40020 6713 7599 16160 18491 6840 6366 9710 11357
"ENSG00000155380" 9693 6187 3528 2869 10194 12410 4827 8937 5614 4524
"ENSG00000155393" 1419 1795 1503 1094 825 1336 1807 1539 1448 1494
"ENSG00000155428" 3 5 5 5 7 11 5 7 3 4
"ENSG00000155438" 2393 2212 1932 1506 3890 4171 2210 2276 2671 2166
"ENSG00000155463" 11516 12218 5725 7522 8599 8487 6583 5252 3818 4680
"ENSG00000155465" 1448 697 1175 2356 585 885 1525 605 3065 1999
"ENSG00000155495" 6962 4054 3642 4661 14 0 161 773 5 12
"ENSG00000155506" 16226 20099 7581 11928 18194 21799 9379 7837 9554 11424
"ENSG00000155508" 4173 3525 2895 2318 3144 3043 2397 1826 2781 3024
"ENSG00000155511" 6 10 1 0 2 1 3 4 0 1
"ENSG00000155530" 78 88 396 268 49 62 2566 2448 472 245
"ENSG00000155542" 593 1224 1032 461 314 601 324 291 623 312
"ENSG00000155545" 1489 4465 2588 1734 1818 1549 1121 1176 1863 1000
"ENSG00000155561" 2875 2547 4162 4438 5709 4404 17553 13176 7211 10108
"ENSG00000155592" 1046 1266 281 372 434 641 343 469 427 486
"ENSG00000155621" 833 810 913 588 1005 1392 401 423 620 514
"ENSG00000155622" 10 4 625 481 0 0 1 1 1 0
"ENSG00000155629" 310 231 1411 2298 1303 1263 1559 711 5017 2786
"ENSG00000155636" 880 1179 596 627 1057 1132 731 595 619 569
"ENSG00000155640" 297 311 45 101 234 110 556 567 133 169
"ENSG00000155657" 109 841 1120 8456 2319 1120 964 619 645 197
"ENSG00000155659" 223 393 1705 4276 1550 3298 4974 1642 2696 8484
"ENSG00000155660" 9960 11878 10577 15586 89951 51631 50009 34746 13326 36800
"ENSG00000155666" 315 285 142 188 167 215 146 92 107 201
"ENSG00000155714" 1 1 2 0 5 4 0 7 1 0
"ENSG00000155719" 19 13 46 33 1230 1694 45 5 977 50
"ENSG00000155729" 1142 1279 884 787 2124 1887 1083 691 688 596
"ENSG00000155744" 677 1073 1001 656 1530 1223 1670 2004 1730 714
"ENSG00000155749" 34 212 79 109 193 114 115 44 16 11
"ENSG00000155754" 10 41 109 62 729 693 108 97 21 15
"ENSG00000155755" 2730 2145 1530 1052 3242 3811 4572 3776 1026 1042
"ENSG00000155760" 768 454 353 292 11551 8047 11694 5220 908 2017
"ENSG00000155761" 8 5 58 44 96 40 9 12 16 7
"ENSG00000155792" 370 434 231 509 1868 2310 551 240 384 592
"ENSG00000155816" 43 34 78 64 1982 3663 77 47 439 162
"ENSG00000155827" 3351 3744 2398 3425 6746 10157 2008 2218 2732 3184
"ENSG00000155833" 0 0 0 0 4 0 0 0 0 0
"ENSG00000155846" 1336 604 1189 906 2102 1843 852 743 1036 983
"ENSG00000155849" 238 219 788 2236 5639 6883 921 270 1015 1818
"ENSG00000155850" 3137 1999 1730 1746 41214 37747 6961 6364 4421 3028
"ENSG00000155858" 1022 1102 316 284 546 781 394 326 602 793
"ENSG00000155868" 777 1070 1332 647 724 874 452 417 1101 646
"ENSG00000155875" 0 2 1 3 4 2 1 0 1 1
"ENSG00000155876" 4411 5307 4054 4203 3975 5889 4885 3784 3759 5990
"ENSG00000155886" 13 21 32 37 45 5 22 7 107 79
"ENSG00000155890" 0 0 0 0 0 0 1 0 0 0
"ENSG00000155893" 1157 1182 862 856 13182 6993 6250 6719 629 922
"ENSG00000155897" 2 17 8 13 163 437 4 2 3 2
"ENSG00000155903" 1378 1936 1366 1226 2715 1632 2314 2067 1404 871
"ENSG00000155906" 2059 1862 803 905 1483 1846 945 977 849 669
"ENSG00000155918" 1 0 0 0 87 46 2 0 0 1
"ENSG00000155926" 207 430 763 2413 1259 733 1168 508 3057 1691
"ENSG00000155957" 962 925 907 276 499 1135 244 347 1266 759
"ENSG00000155959" 2811 2624 2381 1414 2816 3515 1745 1719 3071 2470
"ENSG00000155961" 1 2 51 71 59 33 5 8 48 23
"ENSG00000155962" 1075 2957 500 846 2831 449 598 933 1829 780
"ENSG00000155966" 664 465 32 37 163 184 37 11 48 110
"ENSG00000155970" 139 175 397 154 155 232 278 189 384 156
"ENSG00000155974" 1610 1621 1180 424 345 661 9 13 55 57
"ENSG00000155975" 2486 2731 1694 1616 1450 1166 1847 2245 2941 1827
"ENSG00000155980" 0 1 151 354 769 532 40 6 11 13
"ENSG00000156006" 8 0 3 4 1 0 4 0 2 4
"ENSG00000156009" 1 0 0 0 2 0 2 0 4 0
"ENSG00000156011" 655 4397 192 201 2180 2083 1055 537 1255 1188
"ENSG00000156017" 652 995 1177 604 1718 2711 852 802 2229 1081
"ENSG00000156026" 1785 1403 390 604 1493 1262 1324 894 1165 1379
"ENSG00000156030" 3065 2906 762 1555 5694 5589 2258 1796 1417 1913
"ENSG00000156042" 16 177 97 161 169 206 40 34 75 7
"ENSG00000156049" 19 10 11 101 794 10573 222 1279 93 186
"ENSG00000156050" 278 233 132 171 366 437 296 333 144 189
"ENSG00000156052" 3763 5388 2472 2796 9524 10842 4800 4412 5444 3924
"ENSG00000156076" 4 0 0 0 322 253 0 0 1 4
