"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000005187" 202 157 64 83 18 25 29 21 50 54
"ENSG00000005189" 180 102 215 183 277 344 323 337 248 327
"ENSG00000005194" 5697 6389 3117 2808 3538 5399 2513 2483 1529 2518
"ENSG00000005206" 1419 2127 1893 2902 3607 4775 3555 2450 1182 1283
"ENSG00000005238" 2278 2805 1981 2750 1742 1779 2253 1842 3388 2795
"ENSG00000005243" 58 97 997 1324 2066 3225 1983 811 1642 3732
"ENSG00000005249" 1866 2591 1862 1121 1329 1734 6529 7648 1670 779
"ENSG00000005302" 1313 1814 1599 1370 1746 2168 1444 1457 1882 1750
"ENSG00000005339" 9839 7689 2002 2962 8269 7223 6395 5390 3080 4520
"ENSG00000005379" 0 46 84 166 84 437 77 9 124 47
"ENSG00000005381" 0 3 21 23 14 27 14 5 41 28
"ENSG00000005421" 0 0 4 4 3 6 16 10 0 1
"ENSG00000005436" 1207 1303 717 554 1252 1696 842 561 1346 696
"ENSG00000005448" 286 186 570 654 1230 1055 2343 1623 588 1021
"ENSG00000005469" 355 581 991 741 696 918 1757 1436 974 888
"ENSG00000005471" 14 12 737 1660 818 1151 3145 1836 363 493
"ENSG00000005483" 3815 7071 4592 4955 8835 4741 14581 12076 4288 4092
"ENSG00000005486" 3172 2933 4673 7427 10166 11226 10141 6525 3504 4033
"ENSG00000005513" 12 9 79 32 10951 22330 946 1239 161 106
"ENSG00000005700" 2656 3825 2022 2251 6738 7281 3945 3224 3239 1972
"ENSG00000005801" 810 1748 1186 1170 878 1089 683 472 1134 486
"ENSG00000005810" 7703 8966 2090 3199 3487 3069 3775 3226 2724 2841
"ENSG00000005812" 3553 3869 2743 1496 1815 1736 2859 2099 2146 1514
"ENSG00000005844" 57 640 813 2915 217 204 738 153 1083 786
"ENSG00000005882" 1877 2703 737 1323 885 1370 865 642 499 952
"ENSG00000005884" 22289 33957 7744 16484 15640 15431 12110 7712 3713 7160
"ENSG00000005889" 1774 2371 1180 983 1930 1808 1296 2075 1792 1059
"ENSG00000005893" 47177 50201 19687 15861 19291 29167 11163 10007 20253 10772
"ENSG00000005961" 202 9 22 33 159 202 102 24 131 84
"ENSG00000005981" 2 3 5143 4175 16 43 33 19 1596 212
"ENSG00000006007" 5777 7129 2540 3197 2569 3830 2931 3190 2610 2442
"ENSG00000006015" 1608 2954 2752 3723 2189 3723 1658 1282 2449 4113
"ENSG00000006016" 18 45 36 282 3242 4550 86 39 90 133
"ENSG00000006025" 547 1280 386 858 506 723 777 258 1061 911
"ENSG00000006042" 7553 4150 3655 3038 14900 34394 1548 3260 3168 5799
"ENSG00000006047" 0 0 94 70 145 128 82 15 169 92
"ENSG00000006059" 0 0 2 0 1 0 0 0 1 0
"ENSG00000006062" 823 907 318 678 837 1176 653 387 815 922
"ENSG00000006071" 296 176 1 3 1283 1116 1 1 1 1
"ENSG00000006116" 0 1 0 0 0 0 1 0 0 0
"ENSG00000006118" 4465 1081 1490 4588 5220 4909 2103 1873 1035 2791
"ENSG00000006125" 20378 21544 5660 9422 14672 22549 9363 6967 9151 11350
"ENSG00000006128" 5 0 0 0 87 64 1 1 0 2
"ENSG00000006194" 3363 3471 1355 1677 2095 2181 1207 1706 1528 1978
"ENSG00000006210" 8262 5982 97 773 1143 2407 1964 3241 966 2425
"ENSG00000006282" 3769 5833 1737 2312 8804 14792 3549 1811 3393 3694
"ENSG00000006283" 19 35 0 7 166 50 281 33 107 265
"ENSG00000006327" 4012 5416 2761 3448 7290 5242 13214 11804 3959 6521
"ENSG00000006377" 0 5 195 369 652 781 8 0 40 39
"ENSG00000006432" 69 38 225 203 572 715 264 301 278 261
"ENSG00000006451" 4180 5925 8559 7273 6077 5555 3526 2862 6419 4683
"ENSG00000006453" 811 651 2078 1491 2411 2242 1674 198 2158 2128
"ENSG00000006459" 1163 959 1023 1269 2910 1388 2638 1456 1295 806
"ENSG00000006468" 1773 3965 1561 1203 9615 11551 5876 6275 1858 1246
"ENSG00000006530" 1565 1697 2578 2583 1993 2030 17005 5152 2767 5536
"ENSG00000006534" 1613 1999 488 1190 1340 2220 1172 605 1584 1586
"ENSG00000006555" 1 6 13 57 4 0 5 0 22 12
"ENSG00000006576" 1331 1429 4383 2273 4510 4141 5899 7238 4215 2674
"ENSG00000006606" 3 7 21 33 20 4 39 6 8 40
"ENSG00000006607" 9634 10647 4314 6083 24631 28706 13467 10054 3816 2505
"ENSG00000006611" 0 0 0 1 4 13 0 0 0 0
"ENSG00000006625" 1321 1351 3692 2987 3111 4196 1447 1777 5464 4196
"ENSG00000006634" 655 652 2210 1212 3122 2266 3641 3459 1917 1052
"ENSG00000006638" 38 64 74 189 350 360 567 748 303 628
"ENSG00000006652" 1263 1655 6484 5629 3336 3536 4645 3433 12010 5236
"ENSG00000006659" 0 0 0 1 0 0 0 0 0 0
"ENSG00000006695" 1265 1130 529 642 1338 1889 617 504 783 968
"ENSG00000006704" 1529 1133 708 989 3059 2934 1459 1430 1034 1436
"ENSG00000006712" 6425 6843 2690 5717 4688 6340 3147 3387 3950 6221
"ENSG00000006715" 4716 4364 9523 7697 6949 9821 3417 3996 4904 3775
"ENSG00000006740" 30 65 60 141 217 162 128 35 173 269
"ENSG00000006744" 5778 6524 2972 4341 4507 7685 2718 2250 3336 4590
"ENSG00000006747" 20 22 4965 3483 128 97 373 154 917 732
"ENSG00000006756" 2257 1460 658 1094 1667 2556 1483 1497 817 980
"ENSG00000006757" 598 599 882 937 1049 1075 229 557 434 592
"ENSG00000006788" 2 0 2 131 0 0 1 7 5 11
"ENSG00000006831" 19770 15292 4777 6007 6601 8704 5924 8417 4351 5547
"ENSG00000006837" 19 55 97 77 104 87 58 83 58 39
"ENSG00000007001" 1 6 6 12 8 6 1 5 4 3
"ENSG00000007038" 0 4 7 2 11 0 27 2 1534 690
"ENSG00000007047" 5493 3641 871 1478 2044 2833 1465 1063 1415 2402
"ENSG00000007062" 333 175 313 89 26 58 21 105 118 66
"ENSG00000007080" 6785 7036 2698 4096 4759 8213 2902 3053 2448 4994
"ENSG00000007129" 27 42 76 252 52 49 95 32 97 89
"ENSG00000007168" 11581 12057 4193 5753 9793 13790 8087 7442 6531 7894
"ENSG00000007171" 6 10 87 63 154 186 336 39 381 343
"ENSG00000007174" 3 12 22 10 5849 1748 3072 2137 8 9
"ENSG00000007202" 11336 10858 6098 8485 8625 12278 7134 6018 6032 8806
"ENSG00000007216" 0 0 5 4 1 0 0 0 0 3
"ENSG00000007237" 24336 31873 2657 7912 48560 63035 28331 23864 6038 10751
"ENSG00000007255" 820 356 827 589 964 2215 230 164 405 533
"ENSG00000007264" 27 58 91 141 2283 3104 412 39 216 1213
"ENSG00000007306" 0 0 1 0 1 0 0 0 1 5
"ENSG00000007312" 81 58 367 483 47 37 116 45 458 711
"ENSG00000007314" 28 38 27 277 10 20 97 23 64 370
"ENSG00000007341" 1042 1014 731 839 986 1216 910 1038 526 562
"ENSG00000007350" 1848 78 1755 69 36 20 12 38 282 79
"ENSG00000007372" 19 47 54 43 148 236 79 70 52 82
"ENSG00000007376" 2356 2856 1516 1745 2177 3359 1175 1367 2029 2670
"ENSG00000007384" 5365 11959 445 1270 7582 7238 6285 7456 1989 2972
"ENSG00000007392" 2298 3717 1875 3173 3197 3047 1963 1560 3105 2238
"ENSG00000007402" 85 24 53 62 118 146 31 29 43 27
"ENSG00000007516" 515 98 24 42 591 131 141 147 54 57
"ENSG00000007520" 3449 3565 1667 2044 2225 3947 1038 1119 2048 3176
"ENSG00000007541" 2363 3409 1571 2371 2060 2643 1383 1323 2311 2128
"ENSG00000007545" 1247 1618 480 780 1496 1686 1031 1140 706 841
"ENSG00000007866" 1664 1773 666 1139 1115 1147 739 209 1435 2038
"ENSG00000007908" 27 47 133 428 8 107 926 247 310 1019
"ENSG00000007923" 3521 3320 534 807 3370 4278 2182 2173 1334 2054
"ENSG00000007933" 35 30 72 49 166 22 373 43 227 831
"ENSG00000007944" 4523 3159 899 1399 1882 2142 1141 1327 1350 1690
"ENSG00000007952" 34 63 46 22 24 77 22 29 43 32
"ENSG00000007968" 287 123 525 556 494 656 601 376 565 988
"ENSG00000008018" 6128 6187 12966 10052 9784 10356 5863 5034 5409 7689
"ENSG00000008056" 12 6 23 92 86 74 105 49 34 173
"ENSG00000008083" 12635 9029 2966 4637 2489 1997 1551 1130 2795 2679
"ENSG00000008086" 1443 1026 205 241 1697 1092 917 702 798 985
"ENSG00000008118" 2295 2163 1290 845 47 8 129 277 118 180
"ENSG00000008128" 54 151 22 64 100 89 74 56 194 74
"ENSG00000008130" 2882 3672 1764 2444 2597 4447 3373 2659 3115 3870
"ENSG00000008196" 1 1 0 0 1821 2995 1166 723 4 5
"ENSG00000008197" 3 0 1 0 0 0 0 0 0 0
"ENSG00000008226" 32 51 19 25 51 36 43 6 16 15
"ENSG00000008256" 9006 8933 13309 17606 15345 20687 15086 15287 7164 12613
"ENSG00000008277" 148 338 54 143 254 280 181 1461 152 254
"ENSG00000008282" 7278 7003 13585 7068 5331 5273 13564 12447 10748 10002
"ENSG00000008283" 4327 4866 1410 2160 5511 6210 1688 865 1304 2507
"ENSG00000008294" 16313 16175 5860 5747 16762 21348 6617 6594 6437 6029
"ENSG00000008300" 569 1011 419 717 459 331 737 355 455 398
"ENSG00000008311" 846 1058 1041 1023 931 900 473 2137 979 515
"ENSG00000008323" 9 5 2 9 25 18 56 13 8 94
"ENSG00000008324" 594 695 1480 995 729 1233 1025 1039 1442 1375
"ENSG00000008382" 980 801 427 553 424 906 320 197 501 498
"ENSG00000008394" 12 12 50 182 1001 4502 602 38 313 633
"ENSG00000008405" 1591 534 1627 944 1724 2274 2295 1280 1235 1368
"ENSG00000008438" 2 8 2 4 7 2 4 6 14 1
"ENSG00000008441" 12071 11122 1519 3442 7967 9849 7052 5061 1247 3648
