"","gene_id.anti_PDL_treated_tumor_vs_baseline_tumor","gene_name","base_mean","lfcSE.anti_PDL_treated_tumor_vs_baseline_tumor","pvalue.anti_PDL_treated_tumor_vs_baseline_tumor","adj.P.Val.anti_PDL_treated_tumor_vs_baseline_tumor","gene_id"
"ENSG00000004846","ENSG00000004846",4991.32517596344,-0.0228168035411183,0.159601828737758,0.00525680845410696,0.659551593892171,"ENSG00000004846"
"ENSG00000009950","ENSG00000009950",101.57309236842,0.0274347829158949,0.192394357264528,0.005309815345592,0.659551593892171,"ENSG00000009950"
"ENSG00000016082","ENSG00000016082",59.4851913597456,0.0328038928419674,0.229670052551752,0.00505950062819103,0.659551593892171,"ENSG00000016082"
"ENSG00000067141","ENSG00000067141",1831.65852196349,0.01644592724855,0.11607096933872,0.00531187033143895,0.659551593892171,"ENSG00000067141"
"ENSG00000102003","ENSG00000102003",135.689824068488,0.0158070642031827,0.110344127328597,0.0051620357843387,0.659551593892171,"ENSG00000102003"
"ENSG00000144820","ENSG00000144820",1417.11041331942,-0.0274154371792118,0.190991296718011,0.0052236118789748,0.659551593892171,"ENSG00000144820"
"ENSG00000146070","ENSG00000146070",912.87027818913,-0.0142854597436541,0.0986630010031745,0.00509648926012495,0.659551593892171,"ENSG00000146070"
"ENSG00000178860","ENSG00000178860",1227.62479697153,0.0242955094338684,0.168441462009108,0.00514906345541086,0.659551593892171,"ENSG00000178860"
"ENSG00000182541","ENSG00000182541",4143.52123061359,0.0113491390991743,0.0757163865402081,0.0052090785098079,0.659551593892171,"ENSG00000182541"
"ENSG00000147912","ENSG00000147912",460.059510831421,0.0106712665991771,0.0704810504665498,0.00535315769929223,0.660471241708877,"ENSG00000147912"
"ENSG00000124440","ENSG00000124440",27.3616503930987,-0.0329432902361993,0.253491125420833,0.00539973167557347,0.662027479771253,"ENSG00000124440"
"ENSG00000148180","ENSG00000148180",40486.3673732995,0.0136832830018346,0.0967754957099895,0.0054894503676089,0.668820909163549,"ENSG00000148180"
"ENSG00000109255","ENSG00000109255",41.3245152265644,0.0289058693088715,0.211464928934036,0.00575820160841386,0.684453549722071,"ENSG00000109255"
"ENSG00000110013","ENSG00000110013",3024.22830332025,0.0105328493588452,0.0711674428956845,0.0056612318873931,0.684453549722071,"ENSG00000110013"
"ENSG00000129521","ENSG00000129521",906.916055653151,-0.01657021278984,0.120024365308106,0.00572379921661391,0.684453549722071,"ENSG00000129521"
"ENSG00000198171","ENSG00000198171",4935.75851343498,0.0106790016882504,0.0735022270850231,0.00581538445962634,0.687061240339126,"ENSG00000198171"
"ENSG00000225194","ENSG00000225194",39.6305186356551,0.0246516947756557,0.179805535406329,0.00589954377936401,0.692805460451338,"ENSG00000225194"
"ENSG00000198729","ENSG00000198729",500.961284219955,0.0211653198261798,0.155650222594496,0.00603098554123636,0.699809715124176,"ENSG00000198729"
"ENSG00000231811","ENSG00000231811",208.895754147642,-0.0223314418958362,0.165215500411587,0.00613856927827014,0.705649926276404,"ENSG00000231811"
"ENSG00000156218","ENSG00000156218",146.785820567829,0.018183965575222,0.135621536506756,0.00623722235340785,0.70657754081852,"ENSG00000156218"
"ENSG00000174721","ENSG00000174721",135.240228335711,0.0122253931063601,0.0899025954751365,0.0062911988193039,0.70657754081852,"ENSG00000174721"
"ENSG00000211455","ENSG00000211455",1920.83825774385,-0.0102267466589444,0.0720571952641932,0.00630678629847248,0.70657754081852,"ENSG00000211455"
"ENSG00000231890","ENSG00000231890",77.8335433041483,-0.0217085742837751,0.162144400599589,0.00629779939059912,0.70657754081852,"ENSG00000231890"
"ENSG00000197406","ENSG00000197406",37.1883769085026,0.0282195147755339,0.240153031590782,0.00643119725615505,0.716398624637066,"ENSG00000197406"
"ENSG00000184515","ENSG00000184515",55.6629321192749,-0.0256600210413045,0.196842028609229,0.00656865139943187,0.723442318534038,"ENSG00000184515"
"ENSG00000160691","ENSG00000160691",19419.5635161781,0.0116541304376782,0.087165282378209,0.00668522464007609,0.732144770413726,"ENSG00000160691"
"ENSG00000198914","ENSG00000198914",242.377706418816,0.0246633555280566,0.191660091749231,0.00682368591370915,0.743133705038246,"ENSG00000198914"
"ENSG00000113211","ENSG00000113211",530.364853313639,-0.0127014263123024,0.0972164890909111,0.00689651263582757,0.746892318460126,"ENSG00000113211"
